"env","kk_strain_id","regime","fitness_gain","sd_s","n_s","env_means","fitness_gain_adj"
"SC_0.2M_NaCl","A03_a1.1_A12_1","asexual",-0.157750240303762,0.0015610390549059,2,-0.115497523764393,-0.0422527165393687
"SC_0.2M_NaCl","D04_a1.1_H06_1","asexual",-0.142303090415248,0.00154910003131976,2,-0.115497523764393,-0.0268055666508542
"SC_0.2M_NaCl","C04_a3_H02_1","sexual",-0.0974762612332538,0.00239892738489385,2,-0.115497523764393,0.0180212625311395
"SC_0.2M_NaCl","B05_a1.1_G01_1","asexual",-0.272739410264286,0.0039342587779583,2,-0.115497523764393,-0.157241886499893
"SC_0.2M_NaCl","A04_a3_G12_1","sexual",-0.089962727051469,0.00436701069171488,2,-0.115497523764393,0.0255347967129243
"SC_0.2M_NaCl","D05_a1.1_C12_1","asexual",-0.119710890963496,0.0057068078844034,2,-0.115497523764393,-0.00421336719910219
"SC_0.2M_NaCl","D02_a1.1_A05_1","asexual",-0.144041402161214,0.0108337296609117,2,-0.115497523764393,-0.0285438783968212
"SC_0.2M_NaCl","C02_a3_A03_1","sexual",-0.117492848310763,0.00323912004574349,2,-0.115497523764393,-0.00199532454636919
"SC_0.2M_NaCl","A06_a3_H07_1","sexual",-0.090788744394584,0.00112039427874408,2,-0.115497523764393,0.0247087793698094
"SC_0.2M_NaCl","D06_a1.1_H11_1","asexual",-0.0870779886497395,0.00332252341980453,2,-0.115497523764393,0.0284195351146538
"SC_0.2M_NaCl","D03_a3_B12_1","sexual",-0.10232153279451,0.00730566648392641,2,-0.115497523764393,0.013175990969883
"SC_0.2M_NaCl","C03_a3_H11_1","sexual",-0.0893740619008399,0.00445226611278628,2,-0.115497523764393,0.0261234618635535
"SC_0.2M_NaCl","B04_a1.1_A02_1","asexual",-0.117767231558872,0.00619452222621158,2,-0.115497523764393,-0.00226970779447869
"SC_0.2M_NaCl","E03_a3_H03_1","sexual",-0.119200176027387,0.00370214337163296,2,-0.115497523764393,-0.00370265226299418
"SC_0.2M_NaCl","G04_a3_H09_1","sexual",-0.101454055890232,0.00237424418350124,2,-0.115497523764393,0.0140434678741618
"SC_0.2M_NaCl","F06_a3_A11_1","sexual",-0.0791411851590163,0.00587129706279676,2,-0.115497523764393,0.036356338605377
"SC_0.2M_NaCl","E04_a3_G01_1","sexual",-0.122319033919581,0.00507870519546409,2,-0.115497523764393,-0.00682151015518768
"SC_0.2M_NaCl","H04_a3_A02_1","sexual",-0.0974927984999556,0.00761913917579312,2,-0.115497523764393,0.0180047252644377
"SC_0.2M_NaCl","G02_a1.1_H02_1","asexual",-0.121460782575964,0.001160457185866,2,-0.115497523764393,-0.00596325881157019
"SC_0.2M_NaCl","F02_a1.1_A11_1","asexual",-0.156004884788138,0.00794915407423537,2,-0.115497523764393,-0.0405073610237442
"SC_0.2M_NaCl","H05_a1.1_D12_1","asexual",-0.107864590482751,0.0043243028776941,2,-0.115497523764393,0.00763293328164232
"SC_0.2M_NaCl","G03_a1.1_B12_1","asexual",-0.118152576235007,0.00160670455188828,2,-0.115497523764393,-0.00265505247061418
"SC_0.2M_NaCl","F04_a3_B01_1","sexual",-0.112294002524816,0.000292801697059921,2,-0.115497523764393,0.00320352123957732
"SC_pH7.3","B04_a1.1_A02_1","asexual",-0.0329951300566122,0.00223369090963449,2,-0.049107222674026,0.0161120926174138
"SC_pH7.3","A03_a1.1_A12_1","asexual",-0.0956009235453205,0.0283038582080511,2,-0.049107222674026,-0.0464937008712946
"SC_pH7.3","B05_a1.1_G01_1","asexual",-0.173285276704546,0.00990267742058208,2,-0.049107222674026,-0.124178054030521
"SC_pH7.3","A04_a3_G12_1","sexual",-0.0826289107007332,0.0256026288583488,2,-0.049107222674026,-0.0335216880267072
"SC_pH7.3","C02_a3_A03_1","sexual",-0.0227125086966883,0.00194518636645748,2,-0.049107222674026,0.0263947139773377
"SC_pH7.3","A06_a3_H07_1","sexual",-0.00442862135933872,0.00279352109157977,2,-0.049107222674026,0.0446786013146873
"SC_pH7.3","C03_a3_H11_1","sexual",0.0103020092954261,0.000919762841194583,2,-0.049107222674026,0.0594092319694521
"SC_pH7.3","F04_a3_B01_1","sexual",-0.0557325766946437,0.0106256401649852,2,-0.049107222674026,-0.00662535402061772
"SC_pH7.3","E03_a3_H03_1","sexual",-0.0299987230239295,0.00874960839033734,2,-0.049107222674026,0.0191084996500965
"SC_pH7.3","D04_a1.1_H06_1","asexual",-0.121305922622637,0.0312703247205141,2,-0.049107222674026,-0.0721986999486112
"SC_pH7.3","C04_a3_H02_1","sexual",-0.00252499627315426,0.00392983734705896,2,-0.049107222674026,0.0465822264008717
"SC_pH7.3","F06_a3_A11_1","sexual",0.00592448684127081,0.00400852947099263,2,-0.049107222674026,0.0550317095152968
"SC_pH7.3","E04_a3_G01_1","sexual",-0.00132935021057981,0.0125523668499926,2,-0.049107222674026,0.0477778724634462
"SC_pH7.3","D05_a1.1_C12_1","asexual",-0.0466995435949292,0.000140446374758354,2,-0.049107222674026,0.00240767907909679
"SC_pH7.3","D02_a1.1_A05_1","asexual",-0.0313292284513502,0.00505391052109661,2,-0.049107222674026,0.0177779942226757
"SC_pH7.3","G02_a1.1_H02_1","asexual",-0.0282879175822714,0.00177561820327885,2,-0.049107222674026,0.0208193050917545
"SC_pH7.3","F02_a1.1_A11_1","asexual",-0.0280762648111402,0.00171691307579861,2,-0.049107222674026,0.0210309578628857
"SC_pH7.3","D06_a1.1_H11_1","asexual",-0.032150201838847,0.000758517503059697,2,-0.049107222674026,0.016957020835179
"SC_pH7.3","D03_a3_B12_1","sexual",-0.00512248234427539,0.00226067973280278,2,-0.049107222674026,0.0439847403297506
"SC_pH7.3","G03_a1.1_B12_1","asexual",-0.0521988902994086,0.00723693295977686,2,-0.049107222674026,-0.00309166762538256
"SC_pH7.3","G04_a3_H09_1","sexual",-0.00131716287424009,0.0126085623999667,2,-0.049107222674026,0.0477900597997859
"SC_pH7.3","H04_a3_A02_1","sexual",-0.00900227865657089,0.00433654131462748,2,-0.049107222674026,0.0401049440174551
"SC_pH7.3","H05_a1.1_D12_1","asexual",-0.0650581271281581,0.00293782117173503,2,-0.049107222674026,-0.0159509044541322
"SC37C","A03_a1.1_A12_1","asexual",-0.11021396653945,0.0448246231099846,2,-0.0258046010275671,-0.0844093655118826
"SC37C","A04_a3_G12_1","sexual",-0.0324971449026421,0.000623843899202785,2,-0.0258046010275671,-0.00669254387507496
"SC37C","A06_a3_H07_1","sexual",0.0321611088168657,0.0182910076537825,2,-0.0258046010275671,0.0579657098444327
"SC37C","B04_a1.1_A02_1","asexual",-0.0399960412362768,0.0147211532252331,2,-0.0258046010275671,-0.0141914402087098
"SC37C","E03_a3_H03_1","sexual",-0.0414666580831047,0.0146716428899196,2,-0.0258046010275671,-0.0156620570555376
"SC37C","D04_a1.1_H06_1","asexual",-0.212808809025338,0.0679629061725278,2,-0.0258046010275671,-0.187004207997771
"SC37C","C04_a3_H02_1","sexual",0.0386508188057511,0.0140267185728261,2,-0.0258046010275671,0.0644554198333182
"SC37C","B05_a1.1_G01_1","asexual",-0.21224197689614,0.0511580581595195,2,-0.0258046010275671,-0.186437375868573
"SC37C","E04_a3_G01_1","sexual",0.00944082971284944,0.0188331550924718,2,-0.0258046010275671,0.0352454307404165
"SC37C","D05_a1.1_C12_1","asexual",-0.124781793884121,0.00857017633242264,2,-0.0258046010275671,-0.0989771928565534
"SC37C","D02_a1.1_A05_1","asexual",-0.0317558093572346,0.00984220424495485,2,-0.0258046010275671,-0.00595120832966751
"SC37C","C02_a3_A03_1","sexual",-0.0341872113330986,0.00325585866367336,2,-0.0258046010275671,-0.00838261030553151
"SC37C","F02_a1.1_A11_1","asexual",-0.114416708092789,0.0566591364288014,2,-0.0258046010275671,-0.0886121070652217
"SC37C","D06_a1.1_H11_1","asexual",-0.00396429316453299,0.015388119137187,2,-0.0258046010275671,0.0218403078630341
"SC37C","D03_a3_B12_1","sexual",0.0387355733264843,0.0215741835618093,2,-0.0258046010275671,0.0645401743540514
"SC37C","C03_a3_H11_1","sexual",0.0742605780128244,0.0151260712346319,2,-0.0258046010275671,0.100065179040391
"SC37C","F04_a3_B01_1","sexual",0.0114492329192575,0.0153232828991997,2,-0.0258046010275671,0.0372538339468246
"SC37C","G04_a3_H09_1","sexual",0.0326452069937777,0.0186865151019791,2,-0.0258046010275671,0.0584498080213447
"SC37C","F06_a3_A11_1","sexual",0.029289221009243,0.0234018627391979,2,-0.0258046010275671,0.05509382203681
"SC37C","H04_a3_A02_1","sexual",0.0139245266513914,0.00633398927492594,2,-0.0258046010275671,0.0397291276789585
"SC37C","G02_a1.1_H02_1","asexual",-0.0366555549541273,0.0170712876922327,2,-0.0258046010275671,-0.0108509539265602
"SC37C","H05_a1.1_D12_1","asexual",-0.159153546439106,0.0236385033023362,2,-0.0258046010275671,-0.133348945411538
"SC37C","G03_a1.1_B12_1","asexual",-0.11678223921726,0.0233264394244319,2,-0.0258046010275671,-0.0909776381896929
"YPD","C03_a3_H11_1","sexual",-0.0234342290272291,0.00480710870330815,10,-0.04430225025945,0.0208680212322209
"YPD","B04_a1.1_A02_1","asexual",-0.0529786326320334,0.00627939490527268,10,-0.04430225025945,-0.0086763823725834
"YPD","A03_a1.1_A12_1","asexual",-0.100410649003043,0.0130331051403171,10,-0.04430225025945,-0.0561083987435925
"YPD","C04_a3_H02_1","sexual",-0.0295576010758833,0.00415957609008449,10,-0.04430225025945,0.0147446491835668
"YPD","B05_a1.1_G01_1","asexual",-0.0654150554057467,0.00654752822152285,10,-0.04430225025945,-0.0211128051462967
"YPD","A04_a3_G12_1","sexual",-0.0406193419075185,0.00634961030318129,10,-0.04430225025945,0.00368290835193152
"YPD","D02_a1.1_A05_1","asexual",-0.0563902713683379,0.00645890847174039,10,-0.04430225025945,-0.0120880211088879
"YPD","C02_a3_A03_1","sexual",-0.0470408292209113,0.00822303696278277,10,-0.04430225025945,-0.0027385789614613
"YPD","A06_a3_H07_1","sexual",-0.0434361890938762,0.00356791733156067,9,-0.04430225025945,0.000866061165573813
"YPD","D03_a3_B12_1","sexual",-0.0238503836948613,0.00824041357911491,9,-0.04430225025945,0.0204518665645887
"YPD","G03_a1.1_B12_1","asexual",-0.0499738786253981,0.00487953662996667,10,-0.04430225025945,-0.00567162836594813
"YPD","F04_a3_B01_1","sexual",-0.032709066109439,0.00645628915675475,10,-0.04430225025945,0.011593184150011
"YPD","E03_a3_H03_1","sexual",-0.0461586890006522,0.00929897654423521,10,-0.04430225025945,-0.00185643874120218
"YPD","D04_a1.1_H06_1","asexual",-0.0560036377522686,0.00599963516592103,10,-0.04430225025945,-0.0117013874928186
"YPD","G04_a3_H09_1","sexual",-0.0246166947828736,0.00626644944864792,10,-0.04430225025945,0.0196855554765764
"YPD","F06_a3_A11_1","sexual",-0.0250187772491399,0.00673222244767972,10,-0.04430225025945,0.0192834730103101
"YPD","E04_a3_G01_1","sexual",-0.0251222831700305,0.00866540597651699,10,-0.04430225025945,0.0191799670894196
"YPD","D05_a1.1_C12_1","asexual",-0.053681504711851,0.00514141319387425,10,-0.04430225025945,-0.00937925445240101
"YPD","H04_a3_A02_1","sexual",-0.0274448919897011,0.00923679664378573,10,-0.04430225025945,0.0168573582697489
"YPD","G02_a1.1_H02_1","asexual",-0.0399942042306802,0.00473453993667061,10,-0.04430225025945,0.00430804602876978
"YPD","F02_a1.1_A11_1","asexual",-0.0621507848261976,0.00632786113279107,10,-0.04430225025945,-0.0178485345667476
"YPD","D06_a1.1_H11_1","asexual",-0.0510857529602861,0.00760836142242012,10,-0.04430225025945,-0.00678350270083613
"YPD","H05_a1.1_D12_1","asexual",-0.0541827206355142,0.00496799742449488,10,-0.04430225025945,-0.00988047037606421
